Scenario,Context Size,NLLH_TabPFN_mean,NLLH_TabPFN_SE,NLLH_DistNet_mean,NLLH_DistNet_SE,CRPS_TabPFN_mean,CRPS_TabPFN_SE,CRPS_DistNet_mean,CRPS_DistNet_SE,Wasserstein_TabPFN_mean,Wasserstein_TabPFN_SE,Wasserstein_DistNet_mean,Wasserstein_DistNet_SE,KS_TabPFN_mean,KS_TabPFN_SE,KS_DistNet_mean,KS_DistNet_SE
spear_qcp,32,0.1769,0.0017,5.8397,0.0295,0.7226,0.0012,2.4739,0.0052,0.7308,0.0022,3.0267,0.0061,0.2962,0.0008,0.7939,0.001
spear_qcp,64,0.0948,0.0015,5.9708,0.027,0.6795,0.0011,2.7552,0.0053,0.6129,0.002,3.3754,0.0063,0.264,0.0007,0.8297,0.0008
spear_qcp,128,0.0094,0.0012,3.3183,0.0178,0.6398,0.001,2.686,0.0052,0.5053,0.0018,3.5599,0.0073,0.2309,0.0006,0.7816,0.0009
spear_qcp,256,-0.0465,0.001,1.0299,0.0045,0.6155,0.0009,2.179,0.0049,0.4342,0.0016,3.6741,0.0101,0.207,0.0006,0.5935,0.0009
spear_qcp,512,-0.0752,0.0009,0.7831,0.0031,0.6021,0.0009,1.8442,0.0048,0.3908,0.0014,3.1488,0.0106,0.1931,0.0005,0.517,0.001
spear_qcp,1024,-0.0896,0.0009,0.0906,0.0016,0.5962,0.0009,0.7212,0.0015,0.3694,0.0014,0.7425,0.0035,0.1865,0.0005,0.2666,0.0007
spear_qcp,2048,-0.0968,0.0009,-0.031,0.0013,0.5929,0.0008,0.6238,0.001,0.3577,0.0013,0.451,0.0016,0.1827,0.0005,0.2167,0.0006
spear_qcp,4096,-0.1018,0.0009,-0.0577,0.0011,0.591,0.0008,0.6122,0.0009,0.3512,0.0013,0.4192,0.0015,0.1805,0.0005,0.2048,0.0006
spear_qcp,8192,-0.1044,0.0009,-0.0717,0.001,0.5899,0.0008,0.6054,0.0009,0.3474,0.0013,0.4001,0.0015,0.1791,0.0005,0.1969,0.0006
spear_qcp,10192,-0.1045,0.0009,-0.0765,0.001,0.5898,0.0008,0.6032,0.0009,0.3471,0.0013,0.3945,0.0014,0.179,0.0005,0.1951,0.0005
spear_qcp,12192,-0.1044,0.0009,-0.0785,0.001,0.59,0.0008,0.602,0.0009,0.3475,0.0013,0.3913,0.0014,0.1792,0.0005,0.1936,0.0005
spear_swgcp,32,0.2004,0.0033,5.1944,0.0278,0.264,0.0007,1.186,0.0024,0.2936,0.0009,1.616,0.0034,0.361,0.0009,0.7714,0.0009
spear_swgcp,64,0.0887,0.0029,4.5923,0.0262,0.2528,0.0007,1.3375,0.0029,0.2535,0.0008,1.8644,0.0044,0.3417,0.0009,0.7698,0.0009
spear_swgcp,128,0.008,0.0026,2.6247,0.0183,0.2435,0.0007,1.4053,0.0038,0.2289,0.0008,2.1533,0.0064,0.3254,0.0009,0.7003,0.001
spear_swgcp,256,-0.0353,0.0025,0.9946,0.0068,0.2377,0.0007,1.2354,0.004,0.2115,0.0008,2.3551,0.0086,0.3124,0.0009,0.5561,0.001
spear_swgcp,512,-0.0603,0.0024,0.6951,0.0045,0.2346,0.0007,1.0341,0.004,0.2009,0.0008,2.0424,0.0091,0.3051,0.0009,0.4834,0.0011
spear_swgcp,1024,-0.0789,0.0024,0.3549,0.004,0.2323,0.0007,0.625,0.0032,0.1919,0.0008,1.1316,0.0075,0.2995,0.0009,0.3818,0.0011
spear_swgcp,2048,-0.0929,0.0023,0.0058,0.0029,0.2306,0.0007,0.2411,0.0007,0.1869,0.0007,0.2284,0.0009,0.2959,0.0009,0.3173,0.0009
spear_swgcp,4096,-0.1028,0.0023,-0.0344,0.0026,0.2289,0.0006,0.2353,0.0007,0.1816,0.0007,0.2119,0.0008,0.2932,0.0009,0.3093,0.0009
spear_swgcp,8192,-0.1049,0.0024,-0.0534,0.0026,0.2281,0.0006,0.2324,0.0007,0.1785,0.0007,0.2041,0.0007,0.292,0.0009,0.3024,0.0009
spear_swgcp,10192,-0.1016,0.0024,-0.0558,0.0026,0.2281,0.0006,0.2317,0.0007,0.1781,0.0007,0.2023,0.0007,0.2923,0.0009,0.3007,0.0009
spear_swgcp,12192,-0.0971,0.0025,-0.0587,0.0025,0.2282,0.0006,0.2311,0.0007,0.1782,0.0007,0.201,0.0007,0.293,0.0009,0.2999,0.0009
