Context Size,DistNet – Mean NLLH,TabPFN – Mean NLLH,DistNet – Std NLLH,TabPFN – Std NLLH
32,5.7892,-0.4896,1.9383,0.0632
64,7.5725,-0.6051,1.8388,0.0354
128,4.2965,-0.6813,0.5721,0.0212
256,1.1723,-0.7271,0.106,0.0119
512,0.8764,-0.7507,0.0544,0.0115
1024,-0.3298,-0.7675,0.0742,0.0081
2048,-0.693,-0.7804,0.0123,0.0082
4096,-0.7189,-0.7893,0.012,0.0092
8192,-0.7356,-0.7928,0.0108,0.0084
10192,-0.7389,-0.7937,0.0114,0.0082
12192,-0.7407,-0.7937,0.0109,0.0084
