Context Size,DistNet – Mean NLLH,TabPFN – Mean NLLH,DistNet – Std NLLH,TabPFN – Std NLLH
32,4.9713,-0.8284,1.0311,0.0519
64,4.9216,-0.9105,0.7945,0.0394
128,2.2472,-0.9959,0.4921,0.024
256,0.0253,-1.0518,0.0612,0.0235
512,-0.2268,-1.0805,0.0575,0.0202
1024,-0.9273,-1.095,0.0327,0.0197
2048,-1.0364,-1.1021,0.0248,0.0199
4096,-1.0629,-1.1071,0.0218,0.0199
8192,-1.0771,-1.1097,0.022,0.0201
10192,-1.0814,-1.11,0.0224,0.0201
12192,-1.0839,-1.1098,0.0231,0.0197
