Context Size,DistNet – Mean NLLH,TabPFN – Mean NLLH,DistNet – Std NLLH,TabPFN – Std NLLH
32,11.8998,-0.4406,3.178,0.0809
64,13.5268,-0.5459,2.4357,0.0463
128,7.5684,-0.6044,1.1206,0.0286
256,2.2819,-0.6442,0.0988,0.0249
512,1.9269,-0.661,0.0951,0.0258
1024,0.3822,-0.6766,0.1616,0.0275
2048,-0.413,-0.6842,0.06,0.0274
4096,-0.5591,-0.6864,0.0443,0.0265
8192,-0.6146,-0.6874,0.031,0.0267
10192,-0.6169,-0.6871,0.0321,0.0266
12192,-0.6178,-0.686,0.0319,0.0269
