Context Size,DistNet – Mean NLLH,TabPFN – Mean NLLH,DistNet – Std NLLH,TabPFN – Std NLLH
32,5.8229,-0.6147,1.3782,0.0185
64,5.4176,-0.7057,0.8811,0.0209
128,2.2699,-0.7608,0.2269,0.0175
256,0.1885,-0.793,0.074,0.0125
512,-0.1134,-0.8075,0.0575,0.0123
1024,-0.4812,-0.8157,0.0264,0.011
2048,-0.7645,-0.8201,0.0129,0.011
4096,-0.784,-0.8216,0.0115,0.0108
8192,-0.7937,-0.8225,0.0115,0.0106
10192,-0.7966,-0.8227,0.0113,0.0106
12192,-0.7979,-0.8227,0.0116,0.0104
