Context Size,DistNet – Mean NLLH,TabPFN – Mean NLLH,DistNet – Std NLLH,TabPFN – Std NLLH
32,0.2859,-0.7289,0.1202,0.054
64,0.3174,-0.8376,0.1425,0.0165
128,0.1951,-0.8809,0.0979,0.0195
256,0.0709,-0.9196,0.1005,0.0163
512,-0.2741,-0.9413,0.1163,0.0137
1024,-0.5939,-0.9578,0.0556,0.0115
2048,-0.7209,-0.9658,0.0285,0.0103
4096,-0.8233,-0.9693,0.0082,0.0103
8192,-0.8376,-0.9709,0.0097,0.0085
10192,-0.8416,-0.9699,0.0082,0.01
12192,-0.8429,-0.97,0.0099,0.009
