Context Size,DistNet – Mean NLLH,TabPFN – Mean NLLH,DistNet – Std NLLH,TabPFN – Std NLLH
32,0.5804,-0.0589,0.0524,0.044
64,0.5519,-0.1153,0.0217,0.0308
128,0.4376,-0.16,0.0468,0.0278
256,0.2463,-0.1867,0.1,0.0193
512,0.1158,-0.2019,0.1002,0.0196
1024,-0.1041,-0.2134,0.0255,0.0185
2048,-0.1387,-0.2181,0.0194,0.0179
4096,-0.1507,-0.2165,0.0215,0.0159
8192,-0.1596,-0.2149,0.0232,0.0141
10192,-0.1615,-0.2126,0.022,0.0137
12192,-0.1639,-0.2108,0.0204,0.0137
