Scenario,Context Size,NLLH_TabPFN_mean,NLLH_TabPFN_std,NLLH_DistNet_mean,NLLH_DistNet_std,CRPS_TabPFN_mean,CRPS_TabPFN_std,CRPS_DistNet_mean,CRPS_DistNet_std,Wasserstein_TabPFN_mean,Wasserstein_TabPFN_std,Wasserstein_DistNet_mean,Wasserstein_DistNet_std,KS_TabPFN_mean,KS_TabPFN_std,KS_DistNet_mean,KS_DistNet_std
saps-CVVAR,12192,-0.656,0.8572,-0.5934,0.7572,0.0202,0.0885,0.0197,0.0823,0.0243,0.0939,0.0271,0.0917,0.2061,0.159,0.2264,0.1559
spear_qcp,32,0.1769,0.3346,5.8397,5.9208,0.7226,0.2467,2.4739,1.0388,0.7308,0.4517,3.0267,1.2246,0.2962,0.1539,0.7939,0.1934
spear_qcp,64,0.0948,0.2985,5.9708,5.4334,0.6795,0.2243,2.7552,1.0656,0.6129,0.4084,3.3754,1.2626,0.264,0.1423,0.8297,0.1689
spear_qcp,128,0.0094,0.2432,3.3183,3.578,0.6398,0.2032,2.686,1.0534,0.5053,0.3542,3.5599,1.4598,0.2309,0.1262,0.7816,0.1718
spear_qcp,256,-0.0465,0.2033,1.0299,0.9089,0.6155,0.1876,2.179,0.9862,0.4342,0.3157,3.6741,2.0311,0.207,0.1141,0.5935,0.1762
spear_qcp,512,-0.0752,0.1904,0.7831,0.6158,0.6021,0.1778,1.8442,0.9648,0.3908,0.2888,3.1488,2.1369,0.1931,0.1069,0.517,0.1959
spear_qcp,1024,-0.0896,0.1853,0.0906,0.3249,0.5962,0.1742,0.7212,0.3091,0.3694,0.2758,0.7425,0.7105,0.1865,0.1037,0.2666,0.1449
spear_qcp,2048,-0.0968,0.1819,-0.031,0.2524,0.5929,0.1705,0.6238,0.1986,0.3577,0.2677,0.451,0.3294,0.1827,0.1021,0.2167,0.1219
spear_qcp,4096,-0.1018,0.1784,-0.0577,0.2159,0.591,0.1682,0.6122,0.1891,0.3512,0.2618,0.4192,0.3062,0.1805,0.101,0.2048,0.1151
spear_qcp,8192,-0.1044,0.1771,-0.0717,0.2029,0.5899,0.1673,0.6054,0.183,0.3474,0.2594,0.4001,0.2932,0.1791,0.1008,0.1969,0.1107
spear_qcp,10192,-0.1045,0.1771,-0.0765,0.1936,0.5898,0.167,0.6032,0.1803,0.3471,0.2589,0.3945,0.2862,0.179,0.1007,0.1951,0.1088
spear_qcp,12192,-0.1044,0.1768,-0.0785,0.194,0.59,0.1672,0.602,0.1796,0.3475,0.2595,0.3913,0.2836,0.1792,0.1009,0.1936,0.1077
spear_swgcp,32,0.2004,0.7815,5.1944,6.5793,0.264,0.1702,1.186,0.5588,0.2936,0.2158,1.616,0.8103,0.361,0.2196,0.7714,0.2186
spear_swgcp,64,0.0887,0.6967,4.5923,6.1846,0.2528,0.1663,1.3375,0.6956,0.2535,0.2007,1.8644,1.0518,0.3417,0.2168,0.7698,0.2198
spear_swgcp,128,0.008,0.6221,2.6247,4.3165,0.2435,0.1638,1.4053,0.906,0.2289,0.1932,2.1533,1.51,0.3254,0.2139,0.7003,0.2417
spear_swgcp,256,-0.0353,0.5857,0.9946,1.6098,0.2377,0.1595,1.2354,0.9381,0.2115,0.1857,2.3551,2.0321,0.3124,0.2149,0.5561,0.2457
spear_swgcp,512,-0.0603,0.5701,0.6951,1.0604,0.2346,0.1585,1.0341,0.9391,0.2009,0.1829,2.0424,2.1547,0.3051,0.2145,0.4834,0.2525
spear_swgcp,1024,-0.0789,0.559,0.3549,0.9345,0.2323,0.1573,0.625,0.7563,0.1919,0.1802,1.1316,1.765,0.2995,0.216,0.3818,0.2551
spear_swgcp,2048,-0.0929,0.5493,0.0058,0.6858,0.2306,0.1554,0.2411,0.1641,0.1869,0.1773,0.2284,0.2095,0.2959,0.2161,0.3173,0.2197
spear_swgcp,4096,-0.1028,0.5469,-0.0344,0.6266,0.2289,0.1529,0.2353,0.159,0.1816,0.1738,0.2119,0.1817,0.2932,0.218,0.3093,0.2165
spear_swgcp,8192,-0.1049,0.5584,-0.0534,0.605,0.2281,0.1511,0.2324,0.1562,0.1785,0.1715,0.2041,0.1769,0.292,0.2194,0.3024,0.2165
spear_swgcp,10192,-0.1016,0.5721,-0.0558,0.6063,0.2281,0.1507,0.2317,0.1555,0.1781,0.1714,0.2023,0.1751,0.2923,0.2206,0.3007,0.2165
spear_swgcp,12192,-0.0971,0.5835,-0.0587,0.6004,0.2282,0.1504,0.2311,0.1547,0.1782,0.1713,0.201,0.1741,0.293,0.2217,0.2999,0.2159
yalsat_qcp,32,-0.0174,0.5555,6.0937,6.6217,0.3445,0.3883,2.2313,1.382,0.3672,0.5717,2.7861,1.5432,0.2454,0.1477,0.8359,0.1991
yalsat_qcp,64,-0.1328,0.3464,8.1136,6.616,0.3091,0.2842,2.9939,1.3296,0.3039,0.5339,3.6338,1.4832,0.2048,0.1169,0.9124,0.1533
