Model,0.1,0.3,0.5,0.7,0.9
distnet,-0.6145 ± 0.0294,-0.6094 ± 0.0277,-0.6087 ± 0.0278,-0.4973 ± 0.0283,-0.1734 ± 0.0443
tabpfn,-0.6854 ± 0.0244,-0.6830 ± 0.0240,-0.6812 ± 0.0245,-0.6380 ± 0.0242,-0.5122 ± 0.0285
