Model,0.1,0.3,0.5,0.7,0.9
distnet,-0.7933 ± 0.0114,-0.7955 ± 0.0111,-0.7970 ± 0.0104,-0.7979 ± 0.0107,-0.7998 ± 0.0109
tabpfn,-0.8227 ± 0.0102,-0.8230 ± 0.0101,-0.8229 ± 0.0101,-0.8232 ± 0.0101,-0.8238 ± 0.0105
