Model,0.1,0.3,0.5,0.7,0.9
distnet,-0.4485 ± 0.0150,-0.4484 ± 0.0148,-0.4430 ± 0.0147,-0.4400 ± 0.0148,-0.4367 ± 0.0141
tabpfn,-0.5015 ± 0.0145,-0.4990 ± 0.0144,-0.4882 ± 0.0141,-0.4827 ± 0.0141,-0.4690 ± 0.0147
