Model,0.1,0.3,0.5,0.7,0.9
distnet,-1.0801 ± 0.0208,-1.0808 ± 0.0208,-1.0830 ± 0.0208,-1.0849 ± 0.0201,-1.0700 ± 0.0216
tabpfn,-1.1096 ± 0.0191,-1.1095 ± 0.0191,-1.1100 ± 0.0192,-1.1108 ± 0.0191,-1.0961 ± 0.0194
