Model,0.1,0.3,0.5,0.7,0.9
distnet,-0.8381 ± 0.0091,-0.8390 ± 0.0087,-0.8391 ± 0.0090,-0.8376 ± 0.0086,-0.8302 ± 0.0095
tabpfn,-0.9721 ± 0.0091,-0.9732 ± 0.0092,-0.9744 ± 0.0093,-0.9722 ± 0.0096,-0.9603 ± 0.0105
