Model,0.1,0.3,0.5,0.7,0.9
distnet,-0.7361 ± 0.0104,-0.7365 ± 0.0103,-0.7393 ± 0.0098,-0.7389 ± 0.0101,-0.7305 ± 0.0098
tabpfn,-0.7926 ± 0.0078,-0.7929 ± 0.0078,-0.7917 ± 0.0079,-0.7902 ± 0.0079,-0.7834 ± 0.0081
