Model,0.1,0.3,0.5,0.7,0.9
distnet,-0.1646 ± 0.0213,-0.1660 ± 0.0206,-0.1690 ± 0.0195,-0.1700 ± 0.0205,-0.1694 ± 0.0195
tabpfn,-0.2152 ± 0.0136,-0.2134 ± 0.0122,-0.2104 ± 0.0118,-0.2048 ± 0.0145,-0.1995 ± 0.0168
